2315 , 0.29 , 0.30
2335 , 0.29 , 0.34
2356 , 0.31 , 0.32
2377 , 0.31 , 0.32
2398 , 0.28 , 0.32
2418 , 0.31 , 0.34
2440 , 0.31 , 0.32
2460 , 0.29 , 0.32
2481 , 0.29 , 0.31
2502 , 0.31 , 0.34
2523 , 0.29 , 0.30
2543 , 0.31 , 0.34
2564 , 0.29 , 0.32
2585 , 0.32 , 0.31
2606 , 0.28 , 0.32
2626 , 0.31 , 0.34
2648 , 0.31 , 0.30
2668 , 0.29 , 0.34
2689 , 0.31 , 0.31
2710 , 0.31 , 0.32
2731 , 0.28 , 0.32
2751 , 0.32 , 0.34
2773 , 0.29 , 0.32
2793 , 0.31 , 0.32
2814 , 0.29 , 0.32
2835 , 0.32 , 0.32
2856 , 0.28 , 0.30
2876 , 0.32 , 0.34
2897 , 0.29 , 0.32
2918 , 0.31 , 0.32
2939 , 0.29 , 0.32
2959 , 0.31 , 0.32
2981 , 0.31 , 0.30
3001 , 0.29 , 0.34
3022 , 0.31 , 0.32
3043 , 0.31 , 0.31
3064 , 0.28 , 0.32
3084 , 0.32 , 0.34
3105 , 0.31 , 0.34
3126 , 0.29 , 0.30
3146 , 0.31 , 0.32
3168 , 0.31 , 0.32
3188 , 0.29 , 0.32
3209 , 0.31 , 0.32
3229 , 0.31 , 0.34
3251 , 0.31 , 0.29
3271 , 0.29 , 0.34
3292 , 0.31 , 0.32
3313 , 0.31 , 0.32
3334 , 0.29 , 0.32
3354 , 0.32 , 0.34
3376 , 0.29 , 0.30
3396 , 0.31 , 0.32
3417 , 0.29 , 0.32
3438 , 0.32 , 0.34
3459 , 0.28 , 0.30
3479 , 0.32 , 0.34
3501 , 0.29 , 0.31
3521 , 0.31 , 0.32
3542 , 0.29 , 0.32
3562 , 0.32 , 0.34
3584 , 0.29 , 0.29
3604 , 0.29 , 0.34
3625 , 0.31 , 0.32
3646 , 0.31 , 0.32
3667 , 0.29 , 0.31
3687 , 0.31 , 0.34
3709 , 0.31 , 0.30
3729 , 0.29 , 0.34
3750 , 0.31 , 0.31
3771 , 0.31 , 0.34
3792 , 0.29 , 0.30
3812 , 0.31 , 0.34
3834 , 0.31 , 0.32
3854 , 0.29 , 0.32
3875 , 0.31 , 0.32
3895 , 0.31 , 0.34
3916 , 0.32 , 0.32
3937 , 0.28 , 0.31
3957 , 0.32 , 0.34
3979 , 0.29 , 0.30
3999 , 0.31 , 0.34
4020 , 0.29 , 0.32
4041 , 0.32 , 0.32
4062 , 0.28 , 0.32
4082 , 0.32 , 0.34
4104 , 0.29 , 0.31
4124 , 0.31 , 0.32
4145 , 0.29 , 0.32
4166 , 0.32 , 0.34
4187 , 0.28 , 0.30
4207 , 0.32 , 0.34
4228 , 0.29 , 0.32
4249 , 0.32 , 0.32
4270 , 0.28 , 0.32
4290 , 0.32 , 0.34
4312 , 0.29 , 0.30
4332 , 0.31 , 0.34
4353 , 0.31 , 0.32
4374 , 0.31 , 0.32
4395 , 0.29 , 0.32
4415 , 0.31 , 0.34
4437 , 0.31 , 0.32
4457 , 0.29 , 0.32
4478 , 0.31 , 0.32
4499 , 0.31 , 0.34
4520 , 0.28 , 0.30
4540 , 0.32 , 0.34
4561 , 0.29 , 0.32
4582 , 0.32 , 0.31
4603 , 0.28 , 0.32
4623 , 0.32 , 0.34
4645 , 0.29 , 0.30
4665 , 0.29 , 0.32
4686 , 0.31 , 0.32
4707 , 0.31 , 0.32
4728 , 0.28 , 0.32
4748 , 0.32 , 0.32
4769 , 0.31 , 0.34
4790 , 0.29 , 0.30
4810 , 0.31 , 0.34
4832 , 0.31 , 0.32
4852 , 0.29 , 0.32
4873 , 0.31 , 0.32
4893 , 0.31 , 0.32
4915 , 0.31 , 0.30
4935 , 0.29 , 0.34
4956 , 0.31 , 0.32
4977 , 0.31 , 0.32
4998 , 0.29 , 0.32
5018 , 0.31 , 0.34
5040 , 0.31 , 0.30
5060 , 0.29 , 0.32
5081 , 0.31 , 0.32
5102 , 0.31 , 0.34
5123 , 0.29 , 0.30
5143 , 0.31 , 0.34
5165 , 0.31 , 0.32
5185 , 0.29 , 0.32
5206 , 0.31 , 0.32
5226 , 0.31 , 0.34
5248 , 0.31 , 0.30
5268 , 0.31 , 0.34
5289 , 0.29 , 0.32
5310 , 0.32 , 0.32
5331 , 0.28 , 0.32
5351 , 0.32 , 0.34
